Gateway_1;32;24.23%;2.29%;179.1MiB / 7.646GiB;2.44kB / 826B;0B / 12.3kB;6;38
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;40.7kB / 29.6kB;4.1kB / 57.3kB;6;38
Node_3;18;0.81%;0.19%;15.18MiB / 7.646GiB;124kB / 103kB;16.4kB / 209kB;6;38
Node_2;18;0.81%;0.19%;14.84MiB / 7.646GiB;163kB / 150kB;90.1kB / 209kB;6;38
Node_1;17;0.89%;0.19%;14.98MiB / 7.646GiB;186kB / 175kB;65.5kB / 209kB;6;38
Devnet_Goshimmer;18;210.96%;0.90%;70.13MiB / 7.646GiB;33.5kB / 60.8kB;0B / 77.8kB;6;38
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;122kB / 110kB;0B / 0B;6;38
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;16.6kB / 0B;0B / 0B;6;38
Gateway_1;32;15.11%;2.35%;183.7MiB / 7.646GiB;2.62kB / 826B;0B / 12.3kB;13;31
Rpc;8;0.02%;0.09%;7.004MiB / 7.646GiB;40.7kB / 29.6kB;4.1kB / 57.3kB;13;31
Node_3;18;2.13%;0.19%;14.64MiB / 7.646GiB;127kB / 104kB;16.4kB / 209kB;13;31
Node_2;18;0.74%;0.19%;14.88MiB / 7.646GiB;166kB / 151kB;90.1kB / 209kB;13;31
Node_1;17;0.90%;0.19%;15.13MiB / 7.646GiB;188kB / 176kB;65.5kB / 209kB;13;31
Devnet_Goshimmer;18;213.06%;0.90%;70.4MiB / 7.646GiB;36.6kB / 68.8kB;0B / 77.8kB;13;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;133kB / 121kB;0B / 0B;13;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;16.6kB / 0B;0B / 0B;13;31
Gateway_1;32;20.15%;2.39%;187.4MiB / 7.646GiB;2.72kB / 826B;0B / 12.3kB;20;33
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;40.7kB / 29.6kB;4.1kB / 57.3kB;20;33
Node_3;18;0.86%;0.19%;14.77MiB / 7.646GiB;130kB / 106kB;16.4kB / 209kB;20;33
Node_2;18;0.96%;0.19%;15.01MiB / 7.646GiB;169kB / 152kB;90.1kB / 209kB;20;33
Node_1;17;0.93%;0.20%;15.39MiB / 7.646GiB;191kB / 177kB;65.5kB / 209kB;20;33
Devnet_Goshimmer;18;211.58%;0.90%;70.14MiB / 7.646GiB;39.6kB / 76.8kB;0B / 77.8kB;20;33
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;144kB / 132kB;0B / 0B;20;33
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;16.6kB / 0B;0B / 0B;20;33
Gateway_1;32;23.33%;2.39%;187.4MiB / 7.646GiB;2.72kB / 826B;0B / 12.3kB;27;32
Rpc;8;0.02%;0.09%;7.004MiB / 7.646GiB;40.7kB / 29.6kB;4.1kB / 57.3kB;27;32
Node_3;18;0.89%;0.19%;14.86MiB / 7.646GiB;132kB / 107kB;16.4kB / 209kB;27;32
Node_2;18;0.88%;0.20%;15.43MiB / 7.646GiB;172kB / 153kB;90.1kB / 209kB;27;32
Node_1;17;0.86%;0.20%;15.84MiB / 7.646GiB;194kB / 178kB;65.5kB / 209kB;27;32
Devnet_Goshimmer;18;214.21%;0.89%;69.78MiB / 7.646GiB;42.7kB / 84.8kB;0B / 77.8kB;27;32
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;155kB / 143kB;0B / 0B;27;32
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;16.6kB / 0B;0B / 0B;27;32
Gateway_1;34;50.13%;2.41%;188.8MiB / 7.646GiB;2.9kB / 826B;0B / 12.3kB;34;32
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;40.9kB / 29.7kB;4.1kB / 57.3kB;34;32
Node_3;18;2.08%;0.19%;14.49MiB / 7.646GiB;136kB / 109kB;16.4kB / 209kB;34;32
Node_2;18;0.80%;0.19%;14.83MiB / 7.646GiB;176kB / 156kB;90.1kB / 209kB;34;32
Node_1;17;0.87%;0.19%;15.04MiB / 7.646GiB;199kB / 182kB;65.5kB / 209kB;34;32
Devnet_Goshimmer;18;210.06%;0.89%;69.66MiB / 7.646GiB;45.8kB / 92.8kB;0B / 77.8kB;34;32
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;167kB / 154kB;0B / 0B;34;32
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;16.6kB / 0B;0B / 0B;34;32
Gateway_1;34;28.71%;2.42%;189.6MiB / 7.646GiB;2.9kB / 826B;0B / 12.3kB;41;34
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;40.9kB / 29.7kB;4.1kB / 57.3kB;41;34
Node_3;18;0.90%;0.19%;14.57MiB / 7.646GiB;138kB / 110kB;16.4kB / 209kB;41;34
Node_2;18;0.91%;0.19%;14.97MiB / 7.646GiB;179kB / 157kB;90.1kB / 209kB;41;34
