Gateway_1;27;13,34;=2,40;=187,7*1024;=7,646*1024*1024;=2,44;=836/1000;=36,9;=16,4;=6;15;
Rpc;11;100,57;=0,13;=9,918*1024;=7,646*1024*1024;=8,62;=2,05;=0;=20,5;=6;15;
Node_1;17;0,02;=0,14;=10,71*1024;=7,646*1024*1024;=2,84;=1,05;=0;=45,1;=6;15;
Nodes_Router_1;2;0,00;=0,01;=792;=7,646*1024*1024;=7,23;=1,52;=0;=0;=6;15;
Gateways_Router_1;2;0,00;=0,01;=788;=7,646*1024*1024;=8,28;=1,52;=0;=0;=6;15;
Gateway_1;27;35,27;=2,36;=185*1024;=7,646*1024*1024;=2,62;=836/1000;=36,9;=16,4;=13;11;
Rpc;2;0,00;=0,02;=1,273*1024;=7,646*1024*1024;=10,3;=3,49;=0;=20,5;=13;11;
Node_1;17;0,04;=0,14;=10,79*1024;=7,646*1024*1024;=3,01;=1,11;=0;=45,1;=13;11;
Nodes_Router_1;2;0,00;=0,01;=792;=7,646*1024*1024;=7,3;=1,52;=0;=0;=13;11;
Gateways_Router_1;2;0,00;=0,01;=788;=7,646*1024*1024;=8,35;=1,52;=0;=0;=13;11;
Gateway_1;27;35,15;=2,21;=173,2*1024;=7,646*1024*1024;=2,72;=836/1000;=36,9;=16,4;=21;4;
Rpc;2;0,00;=0,02;=1,273*1024;=7,646*1024*1024;=10,3;=3,49;=0;=20,5;=21;4;
Node_1;17;0,08;=0,14;=10,84*1024;=7,646*1024*1024;=3,08;=1,18;=0;=45,1;=21;4;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=7,73;=1,52;=0;=0;=21;4;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=8,7;=1,52;=0;=0;=21;4;
Gateway_1;29;27,31;=2,02;=158,5*1024;=7,646*1024*1024;=3,01;=836/1000;=36,9;=16,4;=29;4;
Rpc;12;0,08;=0,13;=10,13*1024;=7,646*1024*1024;=21,2;=8,6;=0;=20,5;=29;4;
Node_1;17;0,03;=0,14;=11,16*1024;=7,646*1024*1024;=4,87;=2,83;=143;=53,2;=29;4;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=11,2;=4,12;=0;=0;=29;4;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=9,71;=1,52;=0;=0;=29;4;
Gateway_1;29;46,70;=1,92;=150,1*1024;=7,646*1024*1024;=4,71;=1,36;=36,9;=16,4;=37;22;
Rpc;12;1,86;=0,14;=10,79*1024;=7,646*1024*1024;=32,6;=15,6;=36,9;=28,7;=37;22;
Node_1;17;1,16;=0,16;=12,74*1024;=7,646*1024*1024;=10,6;=5,39;=393;=123;=37;22;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=15,8;=7,27;=0;=0;=37;22;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,1;=1,52;=0;=0;=37;22;
Gateway_1;29;49,33;=1,79;=140*1024;=7,646*1024*1024;=5,57;=2;=36,9;=16,4;=44;10;
Rpc;8;4,59;=0,08;=6,406*1024;=7,646*1024*1024;=33,8;=17,9;=115;=28,7;=44;10;
Node_1;17;1,27;=0,17;=13,01*1024;=7,646*1024*1024;=17;=9;=434;=160;=44;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=18,7;=10,3;=0;=0;=44;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,1;=1,52;=0;=0;=44;10;
Gateway_1;29;43,20;=1,79;=139,9*1024;=7,646*1024*1024;=5,94;=2,27;=36,9;=16,4;=52;6;
Rpc;8;0,02;=0,08;=6,406*1024;=7,646*1024*1024;=33,8;=17,9;=115;=28,7;=52;6;
Node_1;17;1,58;=0,17;=13*1024;=7,646*1024*1024;=20,2;=10,3;=434;=160;=52;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=18,8;=10,3;=0;=0;=52;6;
Gateways_Router_1;2;0,01;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=52;6;
Gateway_1;29;43,37;=1,79;=140,2*1024;=7,646*1024*1024;=6,31;=2,54;=36,9;=16,4;=60;6;
Rpc;8;0,02;=0,08;=6,406*1024;=7,646*1024*1024;=33,8;=18;=115;=28,7;=60;6;
Node_1;17;1,50;=0,17;=13,11*1024;=7,646*1024*1024;=23,2;=11,4;=434;=160;=60;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=60;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=60;6;
Gateway_1;29;43,38;=1,79;=140,3*1024;=7,646*1024*1024;=6,89;=2,85;=36,9;=16,4;=68;5;
Rpc;8;0,01;=0,08;=6,406*1024;=7,646*1024*1024;=33,9;=18;=115;=28,7;=68;5;
Node_1;17;1,59;=0,17;=12,93*1024;=7,646*1024*1024;=26,4;=12,6;=434;=160;=68;5;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=68;5;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=68;5;
Gateway_1;29;43,22;=1,79;=140,2*1024;=7,646*1024*1024;=7,34;=3,18;=36,9;=16,4;=75;5;
Rpc;8;0,02;=0,08;=6,406*1024;=7,646*1024*1024;=34;=18;=115;=28,7;=75;5;
Node_1;17;1,61;=0,17;=12,95*1024;=7,646*1024*1024;=28,6;=13,5;=434;=160;=75;5;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=75;5;
Gateways_Router_1;2;0,01;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=75;5;
Gateway_1;29;44,31;=1,79;=140,5*1024;=7,646*1024*1024;=7,78;=3,5;=36,9;=16,4;=83;6;
Rpc;8;0,05;=0,08;=6,406*1024;=7,646*1024*1024;=34;=18;=115;=28,7;=83;6;
Node_1;17;1,53;=0,17;=13,15*1024;=7,646*1024*1024;=31,7;=14,8;=434;=160;=83;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=83;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=83;6;
Gateway_1;29;41,30;=1,80;=140,8*1024;=7,646*1024*1024;=8,24;=3,85;=36,9;=16,4;=91;6;
Rpc;8;0,02;=0,08;=6,406*1024;=7,646*1024*1024;=34;=18;=115;=28,7;=91;6;
Node_1;17;1,48;=0,16;=12,84*1024;=7,646*1024*1024;=34,8;=15,9;=434;=160;=91;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=91;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=91;6;
Gateway_1;29;59,28;=1,97;=154*1024;=7,646*1024*1024;=8,68;=4,18;=10,1*1000;=16,4;=99;5;
Rpc;8;0,02;=0,08;=6,406*1024;=7,646*1024*1024;=34;=18;=115;=28,7;=99;5;
Node_1;17;1,49;=0,17;=12,93*1024;=7,646*1024*1024;=37,5;=17;=434;=160;=99;5;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=19,2;=10,3;=0;=0;=99;5;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=11,5;=1,52;=0;=0;=99;5;
Gateway_1;29;46,49;=2,28;=178,9*1024;=7,646*1024*1024;=18,8;=20,4;=25,5*1000;=16,4;=107;8;
Rpc;8;0,47;=0,10;=7,902*1024;=7,646*1024*1024;=64,9;=44,7;=246;=28,7;=107;8;
Node_1;17;4,25;=0,18;=14,08*1024;=7,646*1024*1024;=62,4;=38,6;=516;=201;=107;8;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=57,4;=48,2;=0;=0;=107;8;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=37,8;=27,8;=0;=0;=107;8;
Gateway_1;29;42,31;=2,30;=179,7*1024;=7,646*1024*1024;=29,5;=32;=25,5*1000;=16,4;=114;10;
Rpc;12;0,74;=0,12;=9,109*1024;=7,646*1024*1024;=104;=83,6;=246;=28,7;=114;10;
Node_1;17;10,61;=0,18;=14,12*1024;=7,646*1024*1024;=90,5;=64,2;=516;=373;=114;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=100;=91,1;=0;=0;=114;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=66,2;=56;=0;=0;=114;10;
Gateway_1;29;47,35;=2,30;=180,2*1024;=7,646*1024*1024;=43,4;=48,2;=25,5*1000;=16,4;=122;10;
Rpc;12;0,61;=0,12;=9,48*1024;=7,646*1024*1024;=135;=115;=246;=28,7;=122;10;
Node_1;17;9,23;=0,18;=13,94*1024;=7,646*1024*1024;=116;=86,4;=516;=508;=122;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=139;=129;=0;=0;=122;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=84,5;=74,1;=0;=0;=122;10;
Gateway_1;29;42,85;=2,31;=180,5*1024;=7,646*1024*1024;=54,6;=61,1;=25,5*1000;=16,4;=130;9;
Rpc;12;0,16;=0,13;=10,11*1024;=7,646*1024*1024;=161;=142;=246;=28,7;=130;9;
Node_1;17;3,14;=0,19;=14,69*1024;=7,646*1024*1024;=142;=109;=516;=664;=130;9;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=177;=168;=0;=0;=130;9;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=115;=104;=0;=0;=130;9;
Gateway_1;29;43,93;=2,32;=181,6*1024;=7,646*1024*1024;=65,8;=74;=25,5*1000;=16,4;=138;6;
Rpc;12;0,38;=0,13;=10,43*1024;=7,646*1024*1024;=197;=177;=262;=28,7;=138;6;
Node_1;18;6,73;=0,19;=14,79*1024;=7,646*1024*1024;=166;=129;=516;=831;=138;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=215;=206;=0;=0;=138;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=139;=128;=0;=0;=138;6;
Gateway_1;29;45,87;=2,32;=182*1024;=7,646*1024*1024;=77,4;=88,2;=25,5*1000;=16,4;=145;10;
Rpc;12;0,27;=0,14;=10,88*1024;=7,646*1024*1024;=231;=211;=262;=28,7;=145;10;
Node_1;18;6,90;=0,19;=15,16*1024;=7,646*1024*1024;=194;=155;=516;=1,03*1000;=145;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=258;=248;=0;=0;=145;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=163;=152;=0;=0;=145;10;
Gateway_1;29;44,95;=2,33;=182,3*1024;=7,646*1024*1024;=88,5;=101;=25,5*1000;=16,4;=153;17;
Rpc;12;0,27;=0,14;=11,18*1024;=7,646*1024*1024;=262;=243;=262;=28,7;=153;17;
Node_1;18;3,99;=0,20;=15,29*1024;=7,646*1024*1024;=220;=177;=516;=1,25*1000;=153;17;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=296;=286;=0;=0;=153;17;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=186;=176;=0;=0;=153;17;
Gateway_1;29;43,14;=2,33;=182,8*1024;=7,646*1024*1024;=99,6;=114;=25,5*1000;=16,4;=161;10;
Rpc;12;0,25;=0,13;=10,41*1024;=7,646*1024*1024;=293;=274;=262;=28,7;=161;10;
Node_1;18;5,27;=0,19;=15,21*1024;=7,646*1024*1024;=245;=199;=516;=1,48*1000;=161;10;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=334;=325;=0;=0;=161;10;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=211;=200;=0;=0;=161;10;
Gateway_1;29;44,10;=2,34;=183*1024;=7,646*1024*1024;=113;=129;=25,5*1000;=16,4;=169;6;
Rpc;12;0,36;=0,14;=10,63*1024;=7,646*1024*1024;=321;=301;=262;=28,7;=169;6;
Node_1;18;7,32;=0,20;=15,76*1024;=7,646*1024*1024;=272;=225;=516;=1,74*1000;=169;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=377;=367;=0;=0;=169;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=241;=230;=0;=0;=169;6;
Gateway_1;29;43,74;=2,34;=183,3*1024;=7,646*1024*1024;=124;=142;=25,5*1000;=16,4;=177;6;
Rpc;12;0,45;=0,14;=10,64*1024;=7,646*1024*1024;=360;=340;=262;=28,7;=177;6;
Node_1;18;7,16;=0,20;=15,77*1024;=7,646*1024*1024;=297;=247;=553;=2,02*1000;=177;6;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=415;=405;=0;=0;=177;6;
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=259;=248;=0;=0;=177;6;
Gateway_1;29;44,06;=2,34;=183,6*1024;=7,646*1024*1024;=135;=155;=25,5*1000;=16,4;=184;9;
Rpc;12;0,58;=0,14;=11,12*1024;=7,646*1024*1024;=391;=371;=262;=28,7;=184;9;
Node_1;18;5,52;=0,20;=15,89*1024;=7,646*1024*1024;=322;=269;=553;=2,31*1000;=184;9;
Nodes_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=453;=444;=0;=0;=184;9;
