Gateway_1;27;35,47;=2,85;=223,1*1024;=7,646*1024*1024;=4,99;=836/1000;=0;=16,4;=5;5
Rpc;8;2,79;=0,08;=6,516*1024;=7,646*1024*1024;=18,6;=6,96;=0;=20,5;=5;5
Client_1;15;0,66;=0,14;=10,82*1024;=7,646*1024*1024;=8,85;=2,5;=0;=53,2;=5;5
Clients_Router_1;2;0,00;=0,01;=776;=7,646*1024*1024;=22;=3,96;=0;=0;=5;5
Gateways_Router_1;2;0,00;=0,01;=788;=7,646*1024*1024;=24,2;=1,52;=0;=0;=5;5
Gateway_1;27;35,12;=2,94;=229,8*1024;=7,646*1024*1024;=5,86;=836/1000;=0;=16,4;=13;4
Rpc;12;0,25;=0,13;=10,48*1024;=7,646*1024*1024;=29,4;=12,3;=0;=20,5;=13;4
Client_1;15;0,03;=0,14;=10,92*1024;=7,646*1024*1024;=9,38;=2,66;=0;=53,2;=13;4
Clients_Router_1;2;0,00;=0,01;=776;=7,646*1024*1024;=23;=4,12;=0;=0;=13;4
Gateways_Router_1;2;0,00;=0,01;=788;=7,646*1024*1024;=25,9;=1,52;=0;=0;=13;4
Gateway_1;27;32,69;=2,85;=223,1*1024;=7,646*1024*1024;=6,08;=836/1000;=0;=16,4;=21;4
Rpc;12;0,05;=0,13;=10,3*1024;=7,646*1024*1024;=38,2;=17,4;=0;=28,7;=21;4
Client_1;17;3,39;=0,16;=12,66*1024;=7,646*1024*1024;=16,8;=5,92;=0;=123;=21;4
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=27,1;=7,36;=0;=0;=21;4
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=26,4;=1,52;=0;=0;=21;4
Gateway_1;29;38,46;=2,65;=207,4*1024;=7,646*1024*1024;=6,15;=836/1000;=0;=16,4;=29;4
Rpc;8;0,01;=0,08;=6,156*1024;=7,646*1024*1024;=39,6;=19,6;=0;=28,7;=29;4
Client_1;17;1,81;=0,17;=13,42*1024;=7,646*1024*1024;=22,9;=9,4;=0;=160;=29;4
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=30,3;=10,3;=0;=0;=29;4
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=26,5;=1,52;=0;=0;=29;4
Gateway_1;29;52,16;=2,45;=191,8*1024;=7,646*1024*1024;=6,37;=836/1000;=0;=16,4;=37;5
Rpc;8;0,02;=0,08;=6,156*1024;=7,646*1024*1024;=39,6;=19,6;=0;=28,7;=37;5
Client_1;17;1,17;=0,16;=12,61*1024;=7,646*1024*1024;=25,5;=10,5;=0;=160;=37;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=30,3;=10,3;=0;=0;=37;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=26,5;=1,52;=0;=0;=37;5
Gateway_1;29;44,66;=2,24;=175,4*1024;=7,646*1024*1024;=6,37;=836/1000;=0;=16,4;=44;6
Rpc;8;0,02;=0,08;=6,156*1024;=7,646*1024*1024;=40,1;=19,6;=0;=28,7;=44;6
Client_1;17;1,32;=0,16;=12,88*1024;=7,646*1024*1024;=28,7;=11,7;=0;=160;=44;6
